| time |   a    |   b    |load |  out   |
| 95   |      1 |      1 |  0  |      1 |
| 95+  |      1 |      1 |  0  |      1 |
| 96   |      1 |      1 |  0  |      1 |
| 96+  |      1 |      1 |  0  |      1 |
| 97   |      1 |      1 |  0  |      1 |
| 97+  |      1 |      1 |  0  |      1 |
| 98   |      1 |      1 |  0  |      1 |
| 98+  |      1 |      1 |  0  |      1 |
| 99   |      1 |      1 |  0  |      1 |
| 99+  |      1 |      1 |  0  |      1 |
| 100  |      1 |      1 |  0  |      1 |
| 100+ |      1 |      1 |  0  |      1 |
| 101  |      1 |      1 |  0  |      1 |
| 101+ |      1 |      1 |  0  |      1 |
| 102  |      1 |      1 |  0  |      1 |
| 102+ |      1 |      1 |  0  |      1 |
| 103  |      1 |      1 |  0  |      1 |
| 103+ |      2 |      3 |  1  |      1 |
| 104  |      2 |      3 |  1  |      0 |
| 104+ |      2 |      3 |  0  |      0 |
| 105  |      2 |      3 |  0  |      2 |
| 105+ |      2 |      3 |  0  |      2 |
| 106  |      2 |      3 |  0  |      6 |
| 106+ |      2 |      3 |  0  |      6 |
| 107  |      2 |      3 |  0  |      6 |
| 107+ |      2 |      3 |  0  |      6 |
| 108  |      2 |      3 |  0  |      6 |
| 108+ |      2 |      3 |  0  |      6 |
| 109  |      2 |      3 |  0  |      6 |
| 109+ |      2 |      3 |  0  |      6 |
| 110  |      2 |      3 |  0  |      6 |
| 110+ |      2 |      3 |  0  |      6 |
| 111  |      2 |      3 |  0  |      6 |
| 111+ |      2 |      3 |  0  |      6 |
| 112  |      2 |      3 |  0  |      6 |
| 112+ |      2 |      3 |  0  |      6 |
| 113  |      2 |      3 |  0  |      6 |
| 113+ |      2 |      3 |  0  |      6 |
| 114  |      2 |      3 |  0  |      6 |
| 114+ |      2 |      3 |  0  |      6 |
| 115  |      2 |      3 |  0  |      6 |
| 115+ |      2 |      3 |  0  |      6 |
| 116  |      2 |      3 |  0  |      6 |
| 116+ |      2 |      3 |  0  |      6 |
| 117  |      2 |      3 |  0  |      6 |
| 117+ |      2 |      3 |  0  |      6 |
| 118  |      2 |      3 |  0  |      6 |
| 118+ |      2 |      3 |  0  |      6 |
| 119  |      2 |      3 |  0  |      6 |
| 119+ |      2 |      3 |  0  |      6 |
| 120  |      2 |      3 |  0  |      6 |
| 120+ |      3 |      2 |  1  |      6 |
| 121  |      3 |      2 |  1  |      0 |
| 121+ |      3 |      2 |  0  |      0 |
| 122  |      3 |      2 |  0  |      0 |
| 122+ |      3 |      2 |  0  |      0 |
| 123  |      3 |      2 |  0  |      6 |
| 123+ |      3 |      2 |  0  |      6 |
| 124  |      3 |      2 |  0  |      6 |
| 124+ |      3 |      2 |  0  |      6 |
| 125  |      3 |      2 |  0  |      6 |
| 125+ |      3 |      2 |  0  |      6 |
| 126  |      3 |      2 |  0  |      6 |
| 126+ |      3 |      2 |  0  |      6 |
| 127  |      3 |      2 |  0  |      6 |
| 127+ |      3 |      2 |  0  |      6 |
| 128  |      3 |      2 |  0  |      6 |
| 128+ |      3 |      2 |  0  |      6 |
| 129  |      3 |      2 |  0  |      6 |
| 129+ |      3 |      2 |  0  |      6 |
| 130  |      3 |      2 |  0  |      6 |
| 130+ |      3 |      2 |  0  |      6 |
| 131  |      3 |      2 |  0  |      6 |
| 131+ |      3 |      2 |  0  |      6 |
| 132  |      3 |      2 |  0  |      6 |
| 132+ |      3 |      2 |  0  |      6 |
| 133  |      3 |      2 |  0  |      6 |
| 133+ |      3 |      2 |  0  |      6 |
| 134  |      3 |      2 |  0  |      6 |
| 134+ |      3 |      2 |  0  |      6 |
| 135  |      3 |      2 |  0  |      6 |
| 135+ |      3 |      2 |  0  |      6 |
| 136  |      3 |      2 |  0  |      6 |
| 136+ |      3 |      2 |  0  |      6 |
| 137  |      3 |      2 |  0  |      6 |
| 137+ |      7 |     11 |  1  |      6 |
| 138  |      7 |     11 |  1  |      0 |
| 138+ |      7 |     11 |  0  |      0 |
| 139  |      7 |     11 |  0  |      7 |
| 139+ |      7 |     11 |  0  |      7 |
| 140  |      7 |     11 |  0  |     21 |
| 140+ |      7 |     11 |  0  |     21 |
| 141  |      7 |     11 |  0  |     21 |
| 141+ |      7 |     11 |  0  |     21 |
| 142  |      7 |     11 |  0  |     77 |
| 142+ |      7 |     11 |  0  |     77 |
| 143  |      7 |     11 |  0  |     77 |
| 143+ |      7 |     11 |  0  |     77 |
| 144  |      7 |     11 |  0  |     77 |
| 144+ |      7 |     11 |  0  |     77 |
| 145  |      7 |     11 |  0  |     77 |
| 145+ |      7 |     11 |  0  |     77 |
| 146  |      7 |     11 |  0  |     77 |
| 146+ |      7 |     11 |  0  |     77 |
| 147  |      7 |     11 |  0  |     77 |
| 147+ |      7 |     11 |  0  |     77 |
| 148  |      7 |     11 |  0  |     77 |
| 148+ |      7 |     11 |  0  |     77 |
| 149  |      7 |     11 |  0  |     77 |
| 149+ |      7 |     11 |  0  |     77 |
| 150  |      7 |     11 |  0  |     77 |
| 150+ |      7 |     11 |  0  |     77 |
| 151  |      7 |     11 |  0  |     77 |
| 151+ |      7 |     11 |  0  |     77 |
| 152  |      7 |     11 |  0  |     77 |
| 152+ |      7 |     11 |  0  |     77 |
| 153  |      7 |     11 |  0  |     77 |
| 153+ |      7 |     11 |  0  |     77 |
| 154  |      7 |     11 |  0  |     77 |
| 154+ |     11 |      7 |  1  |     77 |
| 155  |     11 |      7 |  1  |      0 |
| 155+ |     11 |      7 |  0  |      0 |
| 156  |     11 |      7 |  0  |     11 |
| 156+ |     11 |      7 |  0  |     11 |
| 157  |     11 |      7 |  0  |     33 |
| 157+ |     11 |      7 |  0  |     33 |
| 158  |     11 |      7 |  0  |     77 |
| 158+ |     11 |      7 |  0  |     77 |
| 159  |     11 |      7 |  0  |     77 |
| 159+ |     11 |      7 |  0  |     77 |
| 160  |     11 |      7 |  0  |     77 |
| 160+ |     11 |      7 |  0  |     77 |
| 161  |     11 |      7 |  0  |     77 |
| 161+ |     11 |      7 |  0  |     77 |
| 162  |     11 |      7 |  0  |     77 |
| 162+ |     11 |      7 |  0  |     77 |
| 163  |     11 |      7 |  0  |     77 |
| 163+ |     11 |      7 |  0  |     77 |
| 164  |     11 |      7 |  0  |     77 |
| 164+ |     11 |      7 |  0  |     77 |
| 165  |     11 |      7 |  0  |     77 |
| 165+ |     11 |      7 |  0  |     77 |
| 166  |     11 |      7 |  0  |     77 |
| 166+ |     11 |      7 |  0  |     77 |
| 167  |     11 |      7 |  0  |     77 |
| 167+ |     11 |      7 |  0  |     77 |
| 168  |     11 |      7 |  0  |     77 |
| 168+ |     11 |      7 |  0  |     77 |
| 169  |     11 |      7 |  0  |     77 |
| 169+ |     11 |      7 |  0  |     77 |
| 170  |     11 |      7 |  0  |     77 |
| 170+ |     11 |      7 |  0  |     77 |
| 171  |     11 |      7 |  0  |     77 |
| 171+ |     42 |     63 |  1  |     77 |
| 172  |     42 |     63 |  1  |      0 |
| 172+ |     42 |     63 |  0  |      0 |
| 173  |     42 |     63 |  0  |     42 |
| 173+ |     42 |     63 |  0  |     42 |
| 174  |     42 |     63 |  0  |    126 |
| 174+ |     42 |     63 |  0  |    126 |
| 175  |     42 |     63 |  0  |    294 |
| 175+ |     42 |     63 |  0  |    294 |
| 176  |     42 |     63 |  0  |    630 |
| 176+ |     42 |     63 |  0  |    630 |
| 177  |     42 |     63 |  0  |   1302 |
| 177+ |     42 |     63 |  0  |   1302 |
| 178  |     42 |     63 |  0  |   2646 |
| 178+ |     42 |     63 |  0  |   2646 |
| 179  |     42 |     63 |  0  |   2646 |
| 179+ |     42 |     63 |  0  |   2646 |
| 180  |     42 |     63 |  0  |   2646 |
| 180+ |     42 |     63 |  0  |   2646 |
| 181  |     42 |     63 |  0  |   2646 |
| 181+ |     42 |     63 |  0  |   2646 |
| 182  |     42 |     63 |  0  |   2646 |
| 182+ |     42 |     63 |  0  |   2646 |
| 183  |     42 |     63 |  0  |   2646 |
| 183+ |     42 |     63 |  0  |   2646 |
| 184  |     42 |     63 |  0  |   2646 |
| 184+ |     42 |     63 |  0  |   2646 |
| 185  |     42 |     63 |  0  |   2646 |
| 185+ |     42 |     63 |  0  |   2646 |
| 186  |     42 |     63 |  0  |   2646 |
| 186+ |     42 |     63 |  0  |   2646 |
| 187  |     42 |     63 |  0  |   2646 |
| 187+ |     42 |     63 |  0  |   2646 |
| 188  |     42 |     63 |  0  |   2646 |
| 188+ |     63 |     42 |  1  |   2646 |
| 189  |     63 |     42 |  1  |      0 |
| 189+ |     63 |     42 |  0  |      0 |
| 190  |     63 |     42 |  0  |      0 |
| 190+ |     63 |     42 |  0  |      0 |
| 191  |     63 |     42 |  0  |    126 |
| 191+ |     63 |     42 |  0  |    126 |
| 192  |     63 |     42 |  0  |    126 |
| 192+ |     63 |     42 |  0  |    126 |
| 193  |     63 |     42 |  0  |    630 |
| 193+ |     63 |     42 |  0  |    630 |
| 194  |     63 |     42 |  0  |    630 |
| 194+ |     63 |     42 |  0  |    630 |
| 195  |     63 |     42 |  0  |   2646 |
| 195+ |     63 |     42 |  0  |   2646 |
| 196  |     63 |     42 |  0  |   2646 |
| 196+ |     63 |     42 |  0  |   2646 |
| 197  |     63 |     42 |  0  |   2646 |
| 197+ |     63 |     42 |  0  |   2646 |
| 198  |     63 |     42 |  0  |   2646 |
| 198+ |     63 |     42 |  0  |   2646 |
| 199  |     63 |     42 |  0  |   2646 |
| 199+ |     63 |     42 |  0  |   2646 |
| 200  |     63 |     42 |  0  |   2646 |
| 200+ |     63 |     42 |  0  |   2646 |
| 201  |     63 |     42 |  0  |   2646 |
| 201+ |     63 |     42 |  0  |   2646 |
| 202  |     63 |     42 |  0  |   2646 |
| 202+ |     63 |     42 |  0  |   2646 |
| 203  |     63 |     42 |  0  |   2646 |
| 203+ |     63 |     42 |  0  |   2646 |
| 204  |     63 |     42 |  0  |   2646 |
| 204+ |     63 |     42 |  0  |   2646 |
| 205  |     63 |     42 |  0  |   2646 |
| 205+ |    255 |    128 |  1  |   2646 |
| 206  |    255 |    128 |  1  |      0 |
| 206+ |    255 |    128 |  0  |      0 |
| 207  |    255 |    128 |  0  |      0 |
| 207+ |    255 |    128 |  0  |      0 |
| 208  |    255 |    128 |  0  |      0 |
| 208+ |    255 |    128 |  0  |      0 |
| 209  |    255 |    128 |  0  |      0 |
| 209+ |    255 |    128 |  0  |      0 |
| 210  |    255 |    128 |  0  |      0 |
| 210+ |    255 |    128 |  0  |      0 |
| 211  |    255 |    128 |  0  |      0 |
| 211+ |    255 |    128 |  0  |      0 |
| 212  |    255 |    128 |  0  |      0 |
| 212+ |    255 |    128 |  0  |      0 |
| 213  |    255 |    128 |  0  |      0 |
| 213+ |    255 |    128 |  0  |      0 |
| 214  |    255 |    128 |  0  |  32640 |
| 214+ |    255 |    128 |  0  |  32640 |
| 215  |    255 |    128 |  0  |  32640 |
| 215+ |    255 |    128 |  0  |  32640 |
| 216  |    255 |    128 |  0  |  32640 |
| 216+ |    255 |    128 |  0  |  32640 |
| 217  |    255 |    128 |  0  |  32640 |
| 217+ |    255 |    128 |  0  |  32640 |
| 218  |    255 |    128 |  0  |  32640 |
| 218+ |    255 |    128 |  0  |  32640 |
| 219  |    255 |    128 |  0  |  32640 |
| 219+ |    255 |    128 |  0  |  32640 |
| 220  |    255 |    128 |  0  |  32640 |
| 220+ |    255 |    128 |  0  |  32640 |
| 221  |    255 |    128 |  0  |  32640 |
| 221+ |    255 |    128 |  0  |  32640 |
| 222  |    255 |    128 |  0  |  32640 |
| 222+ |    128 |    255 |  1  |  32640 |
| 223  |    128 |    255 |  1  |      0 |
| 223+ |    128 |    255 |  0  |      0 |
| 224  |    128 |    255 |  0  |    128 |
| 224+ |    128 |    255 |  0  |    128 |
| 225  |    128 |    255 |  0  |    384 |
| 225+ |    128 |    255 |  0  |    384 |
| 226  |    128 |    255 |  0  |    896 |
| 226+ |    128 |    255 |  0  |    896 |
| 227  |    128 |    255 |  0  |   1920 |
| 227+ |    128 |    255 |  0  |   1920 |
| 228  |    128 |    255 |  0  |   3968 |
| 228+ |    128 |    255 |  0  |   3968 |
| 229  |    128 |    255 |  0  |   8064 |
| 229+ |    128 |    255 |  0  |   8064 |
| 230  |    128 |    255 |  0  |  16256 |
| 230+ |    128 |    255 |  0  |  16256 |
| 231  |    128 |    255 |  0  |  32640 |
| 231+ |    128 |    255 |  0  |  32640 |
| 232  |    128 |    255 |  0  |  32640 |
| 232+ |    128 |    255 |  0  |  32640 |
| 233  |    128 |    255 |  0  |  32640 |
| 233+ |    128 |    255 |  0  |  32640 |
| 234  |    128 |    255 |  0  |  32640 |
| 234+ |    128 |    255 |  0  |  32640 |
| 235  |    128 |    255 |  0  |  32640 |
| 235+ |    128 |    255 |  0  |  32640 |
| 236  |    128 |    255 |  0  |  32640 |
| 236+ |    128 |    255 |  0  |  32640 |
| 237  |    128 |    255 |  0  |  32640 |
| 237+ |    128 |    255 |  0  |  32640 |
| 238  |    128 |    255 |  0  |  32640 |
| 238+ |    128 |    255 |  0  |  32640 |
| 239  |    128 |    255 |  0  |  32640 |
| 239+ |      1 |      2 |  1  |  32640 |
| 240  |      1 |      2 |  1  |      0 |
| 240+ |      1 |      2 |  0  |      0 |
| 241  |      1 |      2 |  0  |      0 |
| 241+ |      1 |      2 |  0  |      0 |
| 242  |      1 |      2 |  0  |      2 |
| 242+ |      1 |      2 |  0  |      2 |
| 243  |      1 |      2 |  0  |      2 |
| 243+ |      1 |      2 |  0  |      2 |
| 244  |      1 |      2 |  0  |      2 |
| 244+ |      1 |      2 |  0  |      2 |
| 245  |      1 |      2 |  0  |      2 |
| 245+ |      1 |      2 |  0  |      2 |
| 246  |      1 |      2 |  0  |      2 |
| 246+ |      1 |      2 |  0  |      2 |
| 247  |      1 |      2 |  0  |      2 |
| 247+ |      1 |      2 |  0  |      2 |
| 248  |      1 |      2 |  0  |      2 |
| 248+ |      1 |      2 |  0  |      2 |
| 249  |      1 |      2 |  0  |      2 |
| 249+ |      1 |      2 |  0  |      2 |
| 250  |      1 |      2 |  0  |      2 |
| 250+ |      1 |      2 |  0  |      2 |
| 251  |      1 |      2 |  0  |      2 |
| 251+ |      1 |      2 |  0  |      2 |
| 252  |      1 |      2 |  0  |      2 |
| 252+ |      1 |      2 |  0  |      2 |
| 253  |      1 |      2 |  0  |      2 |
| 253+ |      1 |      2 |  0  |      2 |
| 254  |      1 |      2 |  0  |      2 |
| 254+ |      1 |      2 |  0  |      2 |
| 255  |      1 |      2 |  0  |      2 |
| 255+ |      1 |      2 |  0  |      2 |
| 256  |      1 |      2 |  0  |      2 |
| 256+ |      2 |      1 |  1  |      2 |
| 257  |      2 |      1 |  1  |      0 |
| 257+ |      2 |      1 |  0  |      0 |
| 258  |      2 |      1 |  0  |      2 |
| 258+ |      2 |      1 |  0  |      2 |
| 259  |      2 |      1 |  0  |      2 |
| 259+ |      2 |      1 |  0  |      2 |
| 260  |      2 |      1 |  0  |      2 |
| 260+ |      2 |      1 |  0  |      2 |
| 261  |      2 |      1 |  0  |      2 |
| 261+ |      2 |      1 |  0  |      2 |
| 262  |      2 |      1 |  0  |      2 |
| 262+ |      2 |      1 |  0  |      2 |
| 263  |      2 |      1 |  0  |      2 |
| 263+ |      2 |      1 |  0  |      2 |
| 264  |      2 |      1 |  0  |      2 |
| 264+ |      2 |      1 |  0  |      2 |
| 265  |      2 |      1 |  0  |      2 |
| 265+ |      2 |      1 |  0  |      2 |
| 266  |      2 |      1 |  0  |      2 |
| 266+ |      2 |      1 |  0  |      2 |
| 267  |      2 |      1 |  0  |      2 |
| 267+ |      2 |      1 |  0  |      2 |
| 268  |      2 |      1 |  0  |      2 |
| 268+ |      2 |      1 |  0  |      2 |
| 269  |      2 |      1 |  0  |      2 |
| 269+ |      2 |      1 |  0  |      2 |
| 270  |      2 |      1 |  0  |      2 |
| 270+ |      2 |      1 |  0  |      2 |
| 271  |      2 |      1 |  0  |      2 |
| 271+ |      2 |      1 |  0  |      2 |
| 272  |      2 |      1 |  0  |      2 |
| 272+ |      2 |      1 |  0  |      2 |
| 273  |      2 |      1 |  0  |      2 |
| 273+ |      1 |      4 |  1  |      2 |
| 274  |      1 |      4 |  1  |      0 |
| 274+ |      1 |      4 |  0  |      0 |
| 275  |      1 |      4 |  0  |      0 |
| 275+ |      1 |      4 |  0  |      0 |
| 276  |      1 |      4 |  0  |      0 |
| 276+ |      1 |      4 |  0  |      0 |
| 277  |      1 |      4 |  0  |      4 |
| 277+ |      1 |      4 |  0  |      4 |
| 278  |      1 |      4 |  0  |      4 |
| 278+ |      1 |      4 |  0  |      4 |
| 279  |      1 |      4 |  0  |      4 |
| 279+ |      1 |      4 |  0  |      4 |
| 280  |      1 |      4 |  0  |      4 |
| 280+ |      1 |      4 |  0  |      4 |
| 281  |      1 |      4 |  0  |      4 |
| 281+ |      1 |      4 |  0  |      4 |
| 282  |      1 |      4 |  0  |      4 |
| 282+ |      1 |      4 |  0  |      4 |
| 283  |      1 |      4 |  0  |      4 |
| 283+ |      1 |      4 |  0  |      4 |
| 284  |      1 |      4 |  0  |      4 |
| 284+ |      1 |      4 |  0  |      4 |
| 285  |      1 |      4 |  0  |      4 |
| 285+ |      1 |      4 |  0  |      4 |
| 286  |      1 |      4 |  0  |      4 |
| 286+ |      1 |      4 |  0  |      4 |
| 287  |      1 |      4 |  0  |      4 |
| 287+ |      1 |      4 |  0  |      4 |
| 288  |      1 |      4 |  0  |      4 |
| 288+ |      1 |      4 |  0  |      4 |
| 289  |      1 |      4 |  0  |      4 |
| 289+ |      1 |      4 |  0  |      4 |
| 290  |      1 |      4 |  0  |      4 |
| 290+ |      4 |      1 |  1  |      4 |
| 291  |      4 |      1 |  1  |      0 |
| 291+ |      4 |      1 |  0  |      0 |
| 292  |      4 |      1 |  0  |      4 |
| 292+ |      4 |      1 |  0  |      4 |
| 293  |      4 |      1 |  0  |      4 |
| 293+ |      4 |      1 |  0  |      4 |
| 294  |      4 |      1 |  0  |      4 |
| 294+ |      4 |      1 |  0  |      4 |
| 295  |      4 |      1 |  0  |      4 |
| 295+ |      4 |      1 |  0  |      4 |
| 296  |      4 |      1 |  0  |      4 |
| 296+ |      4 |      1 |  0  |      4 |
| 297  |      4 |      1 |  0  |      4 |
| 297+ |      4 |      1 |  0  |      4 |
| 298  |      4 |      1 |  0  |      4 |
| 298+ |      4 |      1 |  0  |      4 |
| 299  |      4 |      1 |  0  |      4 |
| 299+ |      4 |      1 |  0  |      4 |
| 300  |      4 |      1 |  0  |      4 |
| 300+ |      4 |      1 |  0  |      4 |
| 301  |      4 |      1 |  0  |      4 |
| 301+ |      4 |      1 |  0  |      4 |
| 302  |      4 |      1 |  0  |      4 |
| 302+ |      4 |      1 |  0  |      4 |
| 303  |      4 |      1 |  0  |      4 |
| 303+ |      4 |      1 |  0  |      4 |
| 304  |      4 |      1 |  0  |      4 |
